,threads,size,nproma,repetition,execution_time
0,1,4096,128,12,682
1,1,65536,64,5,10866
2,1,32768,16,4,5636
3,2,16384,16,0,1679
4,8,4096,16,16,113
5,1,16384,128,16,2712
6,32,32768,16,5,254
7,32,4096,16,6,40
8,32,16384,16,18,130
9,1,8192,16,1,1414
10,2,131072,16,0,13320
11,1,32768,16,15,5634
12,32,32768,16,2,259
13,32,4096,16,1,40
14,1,8192,16,6,1415
15,32,65536,16,18,562
16,1,32768,16,12,5633
17,2,131072,16,7,13299
18,1,262144,16,18,45035
19,1,4096,128,15,682
20,1,65536,64,2,10864
21,1,32768,16,3,5636
22,8,4096,16,11,113
23,4,65536,16,9,3364
24,2,16384,16,7,1676
25,2,32768,16,8,3323
26,1,16384,128,11,2717
27,32,16384,16,3,137
28,32,16384,16,11,134
29,1,8192,16,8,1414
30,4,131072,16,13,6734
31,2,131072,16,9,13295
32,32,65536,16,16,580
33,1,262144,16,16,45080
34,1,4096,128,5,683
35,1,4096,64,14,681
36,16,4096,16,3,68
37,8,262144,16,14,7558
38,4,131072,16,3,6728
39,1,262144,16,5,45063
40,2,16384,16,9,1674
41,4,65536,16,7,3366
42,1,16384,16,2,2822
43,16,65536,16,4,1182
44,32,131072,16,14,1657
45,2,32768,16,6,3334
46,1,262144,16,11,45060
47,1,4096,64,13,681
48,1,4096,128,2,683
49,16,4096,16,4,65
50,8,262144,16,13,7561
51,1,262144,16,2,45082
52,4,131072,16,4,6728
53,4,65536,16,0,3360
54,8,4096,16,18,113
55,16,65536,16,3,1198
56,1,16384,128,18,2711
57,1,16384,16,5,2820
58,2,32768,16,1,3341
59,32,131072,16,13,1720
60,32,16384,16,4,130
61,32,4096,16,8,40
62,32,16384,16,16,133
63,4,131072,16,14,6730
64,32,65536,16,11,564
65,32,262144,16,8,3372
66,1,8192,64,16,1353
67,1,8192,128,7,1359
68,1,131072,16,15,22527
69,32,65536,16,7,558
70,1,8192,64,2,1354
71,16,131072,16,9,2817
72,4,8192,16,6,424
73,32,262144,16,17,3382
74,8,8192,16,3,221
75,8,131072,16,17,3752
76,1,16384,64,8,2719
77,1,32768,64,7,5436
78,32,32768,16,11,252
79,2,4096,16,9,419
80,1,65536,16,6,11272
81,16,16384,16,0,250
82,4,16384,16,3,848
83,4,262144,16,10,13460
84,1,32768,64,0,5435
85,32,32768,16,16,255
86,1,262144,64,8,43418
87,16,16384,16,7,242
88,1,65536,16,1,11266
89,16,32768,16,8,480
90,4,16384,16,4,846
91,4,262144,16,17,13460
92,1,131072,128,19,21612
93,1,8192,128,0,1362
94,1,8192,64,11,1355
95,1,131072,16,12,22544
96,32,65536,16,0,566
97,1,8192,64,5,1355
98,32,262144,16,10,3422
99,4,8192,16,1,424
100,8,8192,16,4,218
101,8,131072,16,10,3751
102,1,16384,64,1,2720
103,1,65536,16,12,11269
104,1,262144,64,6,43485
105,32,32768,16,18,252
106,16,16384,16,9,241
107,4,32768,16,5,1682
108,2,4096,16,0,421
109,2,65536,16,4,6652
110,16,32768,16,6,476
111,1,65536,128,14,10810
112,1,16384,16,15,2823
113,4,262144,16,19,13474
114,8,131072,16,5,3736
115,32,262144,16,1,3381
116,1,131072,128,17,21580
117,16,131072,16,0,2747
118,8,8192,16,14,219
119,32,262144,16,6,3355
120,8,131072,16,2,3756
121,1,8192,128,9,1360
122,1,8192,64,18,1357
123,1,131072,128,10,21633
124,16,131072,16,7,2763
125,32,65536,16,9,578
126,4,8192,16,8,422
127,32,262144,16,19,3393
128,8,8192,16,13,219
129,8,131072,16,19,3750
130,1,16384,64,6,2719
131,1,32768,64,9,5436
132,1,65536,16,15,11264
133,1,262144,64,1,43439
134,1,65536,16,8,11271
135,4,32768,16,2,1680
136,2,4096,16,7,420
137,2,65536,16,3,6664
138,1,65536,128,13,10808
139,16,32768,16,1,481
140,1,16384,16,12,2823
141,8,16384,16,18,440
142,1,8192,128,15,1359
143,1,8192,16,14,1414
144,1,131072,128,6,21582
145,1,131072,64,17,21699
146,16,8192,16,9,123
147,4,32768,16,17,1682
148,2,262144,16,4,26645
149,1,32768,128,19,5409
150,4,4096,16,17,213
151,16,4096,16,14,70
152,1,65536,128,8,10829
153,32,8192,16,5,69
154,1,65536,64,19,10889
155,16,131072,16,17,2747
156,1,4096,16,2,710
157,1,131072,16,8,22537
158,32,8192,16,15,69
159,8,65536,16,8,1818
160,4,4096,16,10,213
161,16,4096,16,13,69
162,32,8192,16,2,67
163,16,131072,16,10,2782
164,1,4096,16,5,711
165,4,262144,16,9,13480
166,1,16384,128,8,2718
167,32,8192,16,12,69
168,1,16384,64,19,2719
169,1,8192,128,12,1361
170,2,8192,16,18,834
171,1,8192,16,13,1413
172,1,131072,64,10,21726
173,1,131072,128,1,21597
174,2,262144,16,3,26624
175,4,32768,16,10,1683
176,8,65536,16,18,1823
177,8,65536,16,6,1828
178,2,131072,16,12,13316
179,1,65536,128,1,10821
180,1,65536,64,10,10892
181,1,16384,64,17,2719
182,1,16384,128,6,2710
183,4,262144,16,7,13461
184,1,131072,16,1,22552
185,2,32768,16,14,3329
